"gameId","easternStartTime","gameDate","gameNumber","gameScheduleStateId","gameStateId","gameType","homeScore","homeTeamId","period","season","visitingScore","visitingTeamId"
1999020001,"1999-10-01T20:00:00","10/1/1999",1,1,7,2,6,25,3,19992000,4,5
1999020002,"1999-10-01T20:00:00","10/1/1999",2,1,7,2,1,22,4,19992000,1,3
1999020003,"1999-10-02T19:00:00","10/2/1999",3,1,7,2,1,6,3,19992000,3,12
1999020004,"1999-10-02T19:00:00","10/2/1999",4,1,7,2,1,8,3,19992000,4,10
1999020005,"1999-10-02T19:00:00","10/2/1999",5,1,7,2,0,4,3,19992000,3,9
1999020006,"1999-10-02T19:00:00","10/2/1999",6,1,7,2,1,11,3,19992000,4,1
1999020007,"1999-10-02T19:30:00","10/2/1999",7,1,7,2,4,14,3,19992000,2,2
1999020008,"1999-10-02T19:30:00","10/2/1999",8,1,7,2,4,13,3,19992000,3,15
1999020009,"1999-10-02T19:30:00","10/2/1999",9,1,7,2,2,17,3,19992000,0,7
1999020010,"1999-10-02T20:00:00","10/2/1999",10,1,7,2,1,19,3,19992000,2,27
1999020011,"1999-10-02T20:00:00","10/2/1999",11,1,7,2,0,18,3,19992000,2,26
1999020012,"1999-10-02T20:00:00","10/2/1999",12,1,7,2,2,25,3,19992000,0,24
1999020013,"1999-10-02T22:00:00","10/2/1999",13,1,7,2,2,23,3,19992000,1,3
1999020014,"1999-10-02T22:30:00","10/2/1999",14,1,7,2,5,28,3,19992000,3,20
1999020015,"1999-10-04T19:30:00","10/4/1999",15,1,7,2,4,10,3,19992000,0,6
1999020016,"1999-10-04T20:00:00","10/4/1999",16,1,7,2,2,19,3,19992000,3,26
1999020017,"1999-10-04T22:30:00","10/4/1999",17,1,7,2,7,28,3,19992000,1,16
1999020018,"1999-10-05T19:30:00","10/5/1999",18,1,7,2,1,3,3,19992000,2,9
1999020019,"1999-10-05T19:30:00","10/5/1999",19,1,7,2,2,17,3,19992000,3,25
1999020020,"1999-10-05T20:00:00","10/5/1999",20,1,7,2,2,18,3,19992000,3,21
1999020021,"1999-10-05T22:30:00","10/5/1999",21,1,7,2,4,27,3,19992000,0,24
1999020022,"1999-10-06T19:30:00","10/6/1999",22,1,7,2,2,10,3,19992000,1,21
1999020023,"1999-10-06T19:30:00","10/6/1999",23,1,7,2,4,13,3,19992000,2,26
1999020024,"1999-10-06T21:00:00","10/6/1999",24,1,7,2,1,20,3,19992000,4,19
1999020025,"1999-10-06T21:00:00","10/6/1999",25,1,7,2,2,22,3,19992000,1,8
1999020026,"1999-10-06T22:30:00","10/6/1999",26,1,7,2,5,23,3,19992000,4,16
1999020027,"1999-10-07T19:00:00","10/7/1999",27,1,7,2,4,9,3,19992000,3,6
1999020028,"1999-10-07T19:30:00","10/7/1999",28,1,7,2,5,1,3,19992000,7,5
1999020029,"1999-10-07T19:30:00","10/7/1999",29,1,7,2,0,4,3,19992000,2,12
1999020030,"1999-10-07T20:00:00","10/7/1999",30,1,7,2,1,11,3,19992000,7,17
1999020031,"1999-10-07T19:30:00","10/7/1999",31,1,7,2,2,14,3,19992000,5,26
1999020032,"1999-10-07T22:30:00","10/7/1999",32,1,7,2,3,28,4,19992000,2,22
1999020033,"1999-10-08T19:00:00","10/8/1999",33,1,7,2,2,7,3,19992000,3,15
1999020034,"1999-10-08T19:30:00","10/8/1999",34,1,7,2,3,3,3,19992000,1,12
1999020035,"1999-10-08T19:30:00","10/8/1999",35,1,7,2,3,5,4,19992000,3,21
1999020036,"1999-10-08T20:30:00","10/8/1999",36,1,7,2,3,16,4,19992000,3,27
1999020037,"1999-10-08T21:00:00","10/8/1999",37,1,7,2,1,20,3,19992000,4,8
1999020038,"1999-10-08T21:30:00","10/8/1999",38,1,7,2,3,24,3,19992000,0,25
1999020039,"1999-10-09T19:00:00","10/9/1999",39,1,7,2,1,6,4,19992000,1,4
1999020040,"1999-10-09T19:00:00","10/9/1999",40,1,7,2,4,9,3,19992000,3,10
1999020041,"1999-10-09T19:30:00","10/9/1999",41,1,7,2,1,1,3,19992000,0,14
1999020042,"1999-10-09T19:00:00","10/9/1999",42,1,7,2,2,15,4,19992000,2,26
1999020043,"1999-10-09T19:00:00","10/9/1999",43,1,7,2,5,11,4,19992000,5,7
1999020044,"1999-10-09T19:30:00","10/9/1999",44,1,7,2,2,13,4,19992000,2,17
1999020045,"1999-10-09T22:00:00","10/9/1999",45,1,7,2,2,22,3,19992000,4,19
1999020046,"1999-10-09T19:00:00","10/9/1999",46,1,7,2,4,23,3,19992000,1,8
1999020047,"1999-10-09T21:30:00","10/9/1999",47,1,7,2,2,28,3,19992000,3,25
1999020048,"1999-10-10T13:00:00","10/10/1999",48,1,7,2,4,2,3,19992000,2,21
1999020049,"1999-10-10T13:30:00","10/10/1999",49,1,7,2,4,3,3,19992000,2,27
1999020050,"1999-10-10T20:00:00","10/10/1999",50,1,7,2,3,16,4,19992000,3,18
1999020051,"1999-10-11T13:30:00","10/11/1999",51,1,7,2,3,6,4,19992000,3,21
1999020052,"1999-10-11T19:00:00","10/11/1999",52,1,7,2,2,7,4,19992000,2,27
1999020053,"1999-10-11T19:30:00","10/11/1999",53,1,7,2,2,10,3,19992000,4,18
1999020054,"1999-10-11T14:00:00","10/11/1999",54,1,7,2,2,9,4,19992000,2,1
1999020055,"1999-10-11T19:30:00","10/11/1999",55,1,7,2,2,2,3,19992000,4,3
1999020056,"1999-10-11T15:00:00","10/11/1999",56,1,7,2,3,20,4,19992000,3,12
1999020057,"1999-10-11T19:00:00","10/11/1999",57,1,7,2,5,24,3,19992000,3,28
1999020058,"1999-10-12T19:30:00","10/12/1999",58,1,7,2,1,8,3,19992000,2,13
1999020059,"1999-10-12T19:30:00","10/12/1999",59,1,7,2,5,15,3,19992000,4,4
1999020060,"1999-10-13T19:30:00","10/13/1999",60,1,7,2,3,10,3,19992000,2,13
1999020061,"1999-10-13T19:30:00","10/13/1999",61,1,7,2,3,1,3,19992000,2,24
1999020062,"1999-10-13T19:00:00","10/13/1999",62,1,7,2,4,17,3,19992000,2,19
1999020063,"1999-10-13T20:30:00","10/13/1999",63,1,7,2,0,25,3,19992000,2,28
1999020064,"1999-10-13T21:00:00","10/13/1999",64,1,7,2,2,21,3,19992000,1,6
1999020065,"1999-10-13T21:00:00","10/13/1999",65,1,7,2,3,22,4,19992000,3,12
1999020066,"1999-10-13T22:00:00","10/13/1999",66,1,7,2,3,23,4,19992000,4,20
1999020067,"1999-10-14T19:30:00","10/14/1999",67,1,7,2,0,2,3,19992000,2,11
1999020068,"1999-10-14T19:30:00","10/14/1999",68,1,7,2,2,3,3,19992000,5,5
1999020069,"1999-10-14T19:30:00","10/14/1999",69,1,7,2,4,4,4,19992000,5,8
1999020070,"1999-10-14T20:00:00","10/14/1999",70,1,7,2,1,18,3,19992000,5,28
1999020071,"1999-10-14T22:30:00","10/14/1999",71,1,7,2,4,27,3,19992000,3,9
1999020072,"1999-10-15T19:30:00","10/15/1999",72,1,7,2,2,14,3,19992000,3,24
1999020073,"1999-10-15T20:30:00","10/15/1999",73,1,7,2,1,16,3,19992000,2,10
1999020074,"1999-10-15T20:30:00","10/15/1999",74,1,7,2,2,25,4,19992000,2,6
1999020075,"1999-10-15T21:00:00","10/15/1999",75,1,7,2,1,20,3,19992000,4,26
1999020076,"1999-10-15T22:00:00","10/15/1999",76,1,7,2,1,23,3,19992000,4,12
1999020077,"1999-10-16T19:00:00","10/16/1999",77,1,7,2,2,8,3,19992000,1,7
1999020078,"1999-10-16T19:30:00","10/16/1999",78,1,7,2,4,1,3,19992000,1,2
1999020079,"1999-10-16T19:30:00","10/16/1999",79,1,7,2,3,5,4,19992000,3,16
1999020080,"1999-10-16T19:00:00","10/16/1999",80,1,7,2,2,15,3,19992000,3,28
1999020081,"1999-10-16T19:30:00","10/16/1999",81,1,7,2,4,14,4,19992000,4,11
1999020082,"1999-10-16T19:30:00","10/16/1999",82,1,7,2,3,13,4,19992000,2,24
1999020083,"1999-10-16T19:30:00","10/16/1999",83,1,7,2,3,17,3,19992000,2,4
1999020084,"1999-10-16T19:00:00","10/16/1999",84,1,7,2,4,19,3,19992000,2,10
1999020085,"1999-10-16T20:00:00","10/16/1999",85,1,7,2,3,18,3,19992000,2,25
1999020086,"1999-10-16T21:00:00","10/16/1999",86,1,7,2,3,21,3,19992000,1,9
1999020087,"1999-10-16T22:00:00","10/16/1999",87,1,7,2,4,20,4,19992000,4,23
1999020088,"1999-10-16T20:00:00","10/16/1999",88,1,7,2,5,22,3,19992000,4,26
