"gameId","easternStartTime","gameDate","gameNumber","gameScheduleStateId","gameStateId","gameType","homeScore","homeTeamId","period","season","visitingScore","visitingTeamId"
1985020001,"1985-10-10T19:30:00","10/10/1985",1,1,7,2,3,6,3,19851986,1,10
1985020002,"1985-10-10T19:30:00","10/10/1985",2,1,7,2,4,7,3,19851986,5,34
1985020003,"1985-10-10T19:30:00","10/10/1985",3,1,7,2,3,5,3,19851986,5,8
1985020004,"1985-10-10T20:00:00","10/10/1985",4,1,7,2,6,32,3,19851986,2,16
1985020005,"1985-10-10T19:30:00","10/10/1985",5,1,7,2,4,3,3,19851986,2,15
1985020006,"1985-10-10T19:45:00","10/10/1985",6,1,7,2,5,4,3,19851986,6,1
1985020007,"1985-10-10T19:30:00","10/10/1985",7,1,7,2,6,17,4,19851986,6,31
1985020008,"1985-10-10T21:30:00","10/10/1985",8,1,7,2,4,22,3,19851986,3,33
1985020009,"1985-10-10T22:30:00","10/10/1985",9,1,7,2,5,26,3,19851986,6,23
1985020010,"1985-10-11T21:30:00","10/11/1985",10,1,7,2,8,20,3,19851986,3,33
1985020011,"1985-10-12T19:30:00","10/12/1985",11,1,7,2,2,17,3,19851986,9,6
1985020012,"1985-10-12T19:30:00","10/12/1985",12,1,7,2,8,34,3,19851986,2,3
1985020013,"1985-10-12T20:30:00","10/12/1985",13,1,7,2,2,31,3,19851986,6,7
1985020014,"1985-10-12T20:15:00","10/12/1985",14,1,7,2,6,8,3,19851986,3,16
1985020015,"1985-10-12T20:00:00","10/12/1985",15,1,7,2,0,10,3,19851986,4,32
1985020016,"1985-10-12T22:30:00","10/12/1985",16,1,7,2,4,26,4,19851986,5,2
1985020017,"1985-10-12T19:30:00","10/12/1985",17,1,7,2,4,1,3,19851986,1,15
1985020018,"1985-10-12T19:30:00","10/12/1985",18,1,7,2,2,5,3,19851986,4,4
1985020019,"1985-10-12T20:00:00","10/12/1985",19,1,7,2,3,23,3,19851986,4,19
1985020020,"1985-10-13T19:00:00","10/13/1985",20,1,7,2,7,6,3,19851986,2,8
1985020021,"1985-10-13T20:00:00","10/13/1985",21,1,7,2,2,33,3,19851986,5,32
1985020022,"1985-10-13T19:30:00","10/13/1985",22,1,7,2,2,3,4,19851986,3,1
1985020023,"1985-10-13T19:00:00","10/13/1985",23,1,7,2,2,15,3,19851986,4,4
1985020024,"1985-10-13T20:30:00","10/13/1985",24,1,7,2,1,16,3,19851986,5,10
1985020025,"1985-10-13T20:00:00","10/13/1985",25,1,7,2,6,22,3,19851986,3,19
1985020026,"1985-10-13T22:30:00","10/13/1985",26,1,7,2,2,26,3,19851986,9,20
1985020027,"1985-10-14T19:30:00","10/14/1985",27,1,7,2,6,7,3,19851986,1,17
1985020028,"1985-10-14T22:00:00","10/14/1985",28,1,7,2,4,23,3,19851986,2,2
1985020029,"1985-10-15T19:30:00","10/15/1985",29,1,7,2,4,32,3,19851986,1,34
1985020030,"1985-10-15T19:30:00","10/15/1985",30,1,7,2,3,5,3,19851986,2,31
1985020031,"1985-10-16T22:30:00","10/16/1985",31,1,7,2,3,23,4,19851986,3,6
1985020032,"1985-10-16T19:30:00","10/16/1985",32,1,7,2,0,8,3,19851986,6,7
1985020033,"1985-10-16T21:30:00","10/16/1985",33,1,7,2,6,22,3,19851986,4,2
1985020034,"1985-10-16T22:30:00","10/16/1985",34,1,7,2,4,26,3,19851986,3,3
1985020035,"1985-10-16T20:30:00","10/16/1985",35,1,7,2,5,16,4,19851986,5,5
1985020036,"1985-10-16T19:30:00","10/16/1985",36,1,7,2,5,10,4,19851986,6,15
1985020037,"1985-10-16T19:30:00","10/16/1985",37,1,7,2,3,17,3,19851986,4,33
1985020038,"1985-10-16T21:30:00","10/16/1985",38,1,7,2,1,20,3,19851986,2,19
1985020039,"1985-10-17T19:30:00","10/17/1985",39,1,7,2,3,1,4,19851986,4,34
1985020040,"1985-10-17T19:30:00","10/17/1985",40,1,7,2,1,4,3,19851986,2,32
1985020041,"1985-10-17T20:30:00","10/17/1985",41,1,7,2,10,31,3,19851986,1,17
1985020042,"1985-10-18T21:30:00","10/18/1985",42,1,7,2,3,22,3,19851986,2,6
1985020043,"1985-10-18T19:30:00","10/18/1985",43,1,7,2,1,7,3,19851986,4,15
1985020044,"1985-10-18T22:30:00","10/18/1985",44,1,7,2,5,23,3,19851986,4,26
1985020045,"1985-10-19T20:00:00","10/19/1985",45,1,7,2,3,20,3,19851986,6,6
1985020046,"1985-10-19T19:30:00","10/19/1985",46,1,7,2,11,34,3,19851986,6,8
1985020047,"1985-10-19T19:30:00","10/19/1985",47,1,7,2,2,15,4,19851986,2,7
1985020048,"1985-10-19T19:30:00","10/19/1985",48,1,7,2,4,32,3,19851986,3,5
1985020049,"1985-10-19T19:00:00","10/19/1985",49,1,7,2,5,2,3,19851986,4,3
1985020050,"1985-10-19T20:30:00","10/19/1985",50,1,7,2,4,19,3,19851986,3,1
1985020051,"1985-10-19T19:30:00","10/19/1985",51,1,7,2,7,4,3,19851986,3,31
1985020052,"1985-10-19T20:00:00","10/19/1985",52,1,7,2,3,10,3,19851986,4,33
1985020053,"1985-10-19T19:30:00","10/19/1985",53,1,7,2,2,17,3,19851986,6,16
1985020054,"1985-10-20T19:30:00","10/20/1985",54,1,7,2,4,3,3,19851986,3,23
1985020055,"1985-10-20T20:30:00","10/20/1985",55,1,7,2,2,16,3,19851986,5,4
1985020056,"1985-10-20T20:00:00","10/20/1985",56,1,7,2,8,33,3,19851986,5,20
1985020057,"1985-10-20T22:30:00","10/20/1985",57,1,7,2,5,26,3,19851986,8,22
1985020058,"1985-10-21T19:30:00","10/21/1985",58,1,7,2,2,8,3,19851986,3,32
1985020059,"1985-10-22T22:30:00","10/22/1985",59,1,7,2,2,26,3,19851986,5,6
1985020060,"1985-10-22T20:00:00","10/22/1985",60,1,7,2,2,2,4,19851986,2,23
1985020061,"1985-10-22T20:30:00","10/22/1985",61,1,7,2,5,31,3,19851986,4,19
1985020062,"1985-10-23T20:30:00","10/23/1985",62,1,7,2,9,16,3,19851986,2,34
1985020063,"1985-10-23T19:45:00","10/23/1985",63,1,7,2,4,7,3,19851986,5,8
1985020064,"1985-10-23T19:30:00","10/23/1985",64,1,7,2,5,3,3,19851986,1,1
1985020065,"1985-10-23T19:30:00","10/23/1985",65,1,7,2,4,10,3,19851986,5,5
1985020066,"1985-10-23T21:30:00","10/23/1985",66,1,7,2,4,20,3,19851986,2,15
1985020067,"1985-10-23T19:30:00","10/23/1985",67,1,7,2,0,17,3,19851986,5,23
1985020068,"1985-10-23T20:30:00","10/23/1985",68,1,7,2,4,19,4,19851986,4,31
1985020069,"1985-10-23T20:30:00","10/23/1985",69,1,7,2,9,33,3,19851986,3,22
1985020070,"1985-10-24T19:30:00","10/24/1985",70,1,7,2,3,4,3,19851986,0,34
1985020071,"1985-10-24T20:00:00","10/24/1985",71,1,7,2,6,2,3,19851986,5,32
1985020072,"1985-10-24T19:30:00","10/24/1985",72,1,7,2,4,1,3,19851986,6,16
1985020073,"1985-10-24T19:30:00","10/24/1985",73,1,7,2,6,5,3,19851986,4,10
1985020074,"1985-10-25T19:30:00","10/25/1985",74,1,7,2,5,7,3,19851986,4,23
1985020075,"1985-10-25T19:30:00","10/25/1985",75,1,7,2,5,3,3,19851986,0,26
