"gameId","easternStartTime","gameDate","gameNumber","gameScheduleStateId","gameStateId","gameType","homeScore","homeTeamId","period","season","visitingScore","visitingTeamId"
2018010001,"2018-09-15T02:30:00","9/15/2018",1,1,6,1,3,20,5,20182019,4,6
2018010002,"2018-09-16T13:00:00","9/16/2018",2,1,6,1,2,6,5,20182019,1,15
2018010003,"2018-09-16T13:00:00","9/16/2018",3,1,6,1,3,2,3,20182019,0,4
2018010004,"2018-09-16T20:00:00","9/16/2018",4,1,6,1,7,54,3,20182019,2,53
2018010005,"2018-09-17T15:30:00","9/17/2018",5,1,6,1,0,13,3,20182019,5,18
2018010006,"2018-09-17T19:00:00","9/17/2018",6,1,6,1,1,29,3,20182019,4,7
2018010007,"2018-09-17T19:00:00","9/17/2018",7,1,6,1,3,13,3,20182019,5,18
2018010008,"2018-09-17T19:00:00","9/17/2018",8,1,6,1,3,1,4,20182019,4,3
2018010009,"2018-09-17T19:00:00","9/17/2018",9,1,6,1,3,4,3,20182019,1,2
2018010010,"2018-09-17T19:30:00","9/17/2018",10,1,6,1,3,8,3,20182019,1,1
2018010011,"2018-09-17T20:00:00","9/17/2018",11,1,6,1,2,52,3,20182019,1,30
2018010012,"2018-09-17T21:00:00","9/17/2018",12,1,6,1,4,20,3,20182019,7,22
2018010013,"2018-09-18T19:00:00","9/18/2018",13,1,6,1,3,7,3,20182019,2,5
2018010014,"2018-09-18T19:00:00","9/18/2018",14,1,6,1,4,29,3,20182019,1,16
2018010015,"2018-09-18T19:00:00","9/18/2018",15,1,6,1,1,2,3,20182019,5,4
2018010016,"2018-09-18T19:00:00","9/18/2018",16,1,6,1,2,15,3,20182019,5,6
2018010017,"2018-09-18T19:30:00","9/18/2018",17,1,6,1,1,14,3,20182019,4,12
2018010018,"2018-09-18T19:30:00","9/18/2018",18,1,6,1,4,10,3,20182019,1,9
2018010019,"2018-09-18T20:30:00","9/18/2018",19,1,6,1,5,25,3,20182019,3,19
2018010020,"2018-09-18T21:00:00","9/18/2018",20,1,6,1,1,21,3,20182019,5,54
2018010021,"2018-09-18T22:00:00","9/18/2018",21,1,6,1,4,53,3,20182019,2,26
2018010022,"2018-09-18T22:30:00","9/18/2018",22,1,6,1,3,26,3,20182019,4,53
2018010023,"2018-09-18T22:30:00","9/18/2018",23,1,6,1,4,28,3,20182019,1,24
2018010024,"2018-09-18T22:30:00","9/18/2018",24,1,6,1,2,23,3,20182019,4,22
2018010025,"2018-09-19T07:30:00","9/19/2018",25,1,6,1,3,6,3,20182019,1,20
2018010026,"2018-09-19T19:00:00","9/19/2018",26,1,6,1,6,12,3,20182019,1,14
2018010027,"2018-09-19T19:00:00","9/19/2018",27,1,6,1,4,3,3,20182019,6,4
2018010028,"2018-09-19T19:30:00","9/19/2018",28,1,6,1,3,17,4,20182019,2,5
2018010029,"2018-09-19T19:30:00","9/19/2018",29,1,6,1,2,8,3,20182019,5,13
2018010030,"2018-09-19T19:30:00","9/19/2018",30,1,6,1,1,9,3,20182019,4,10
2018010031,"2018-09-19T20:00:00","9/19/2018",31,1,6,1,2,30,3,20182019,3,19
2018010032,"2018-09-19T22:00:00","9/19/2018",32,1,6,1,1,23,3,20182019,4,20
2018010033,"2018-09-20T19:00:00","9/20/2018",33,1,6,1,5,8,3,20182019,2,15
2018010034,"2018-09-20T19:00:00","9/20/2018",34,1,6,1,2,2,3,20182019,0,1
2018010035,"2018-09-20T19:30:00","9/20/2018",35,1,6,1,4,17,3,20182019,2,16
2018010036,"2018-09-20T20:00:00","9/20/2018",36,1,6,1,1,30,3,20182019,3,25
2018010037,"2018-09-20T21:00:00","9/20/2018",37,1,6,1,7,22,3,20182019,3,52
2018010038,"2018-09-20T22:00:00","9/20/2018",38,1,6,1,3,24,3,20182019,7,28
2018010039,"2018-09-20T22:00:00","9/20/2018",39,1,6,1,4,23,5,20182019,3,26
2018010040,"2018-09-20T22:30:00","9/20/2018",40,1,6,1,2,26,3,20182019,7,54
2018010041,"2018-09-21T19:00:00","9/21/2018",41,1,6,1,2,4,4,20182019,3,2
2018010042,"2018-09-21T19:30:00","9/21/2018",42,1,6,1,5,12,3,20182019,1,15
2018010043,"2018-09-21T19:30:00","9/21/2018",43,1,6,1,2,9,3,20182019,5,16
2018010044,"2018-09-21T19:30:00","9/21/2018",44,1,6,1,5,10,3,20182019,3,7
2018010045,"2018-09-21T20:00:00","9/21/2018",45,1,6,1,1,18,3,20182019,5,14
2018010046,"2018-09-21T20:00:00","9/21/2018",46,1,6,1,3,19,3,20182019,0,29
2018010047,"2018-09-21T20:00:00","9/21/2018",47,1,6,1,4,52,4,20182019,3,20
2018010048,"2018-09-22T15:00:00","9/22/2018",48,1,6,1,7,5,3,20182019,3,29
2018010049,"2018-09-22T18:00:00","9/22/2018",49,1,6,1,7,30,3,20182019,0,21
2018010050,"2018-09-22T19:00:00","9/22/2018",50,1,6,1,2,7,3,20182019,3,10
2018010051,"2018-09-22T19:00:00","9/22/2018",51,1,6,1,4,17,4,20182019,3,6
